survey_year,age,gender,race,ethnicity,language_home,citizenship_status,place_birth,immigrant_generation,immigration_attitude,border_security_attitude,political_party,vote_intention,approval_rating
2006,NA,NA,NA,NA,1,NA,NA,NA,0,1,2,2,NA
2006,NA,NA,NA,NA,1,NA,NA,NA,0,1,2,2,NA
2006,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,2,NA
2006,NA,NA,NA,13,1,NA,NA,NA,0,1,2,2,NA
2006,NA,NA,NA,NA,2,NA,NA,NA,1,2,1,1,NA
2006,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,1,NA
2006,NA,NA,NA,NA,2,NA,NA,NA,0,1,1,1,NA
2006,NA,NA,NA,NA,2,2,2,1,1,2,NA,NA,NA
2006,NA,NA,NA,14,1,NA,NA,NA,1,1,1,1,NA
2006,NA,NA,NA,31,2,NA,NA,NA,1,2,2,2,NA
2006,NA,NA,NA,26,1,NA,NA,NA,0,1,2,2,NA
2006,NA,NA,NA,32,1,NA,NA,NA,NA,1,2,2,NA
2006,NA,NA,NA,NA,2,2,2,1,1,2,1,1,NA
2006,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,2,NA
2006,NA,NA,NA,NA,2,2,2,1,1,2,1,1,NA
2006,NA,NA,NA,37,1,NA,NA,NA,1,2,2,2,NA
2006,NA,NA,NA,5,2,1,2,1,1,1,3,3,NA
2006,NA,NA,NA,NA,2,NA,NA,NA,1,2,NA,NA,NA
2006,27,NA,NA,NA,2,2,2,1,0,NA,2,2,NA
2006,NA,NA,NA,NA,2,1,2,1,1,2,NA,NA,NA
2006,NA,NA,NA,13,1,NA,NA,NA,0,1,3,3,NA
2006,NA,NA,NA,7,2,2,2,1,1,2,1,1,NA
2006,27,NA,NA,NA,2,2,2,1,1,1,1,1,NA
2006,23,NA,NA,7,2,1,2,1,1,2,4,4,NA
2006,22,NA,NA,NA,2,1,1,2,0,2,4,4,NA
2006,24,NA,NA,19,2,2,2,1,1,2,4,4,NA
2006,NA,NA,NA,NA,2,2,2,1,1,1,2,2,NA
2006,NA,NA,NA,14,2,NA,NA,NA,0,1,1,1,NA
2006,NA,NA,NA,NA,2,2,2,1,1,2,1,1,NA
2006,26,NA,NA,NA,2,2,1,2,1,2,3,3,NA
2006,NA,NA,NA,NA,2,NA,NA,NA,1,1,1,1,NA
2006,24,NA,NA,22,2,2,2,1,1,2,1,1,NA
2006,NA,NA,NA,NA,2,2,2,1,NA,2,4,4,NA
2006,NA,NA,NA,13,1,NA,NA,NA,0,1,1,1,NA
2006,NA,NA,NA,NA,1,NA,NA,NA,NA,2,3,3,NA
2006,NA,NA,NA,NA,2,NA,2,1,NA,NA,NA,NA,NA
2006,40,NA,NA,NA,1,1,2,1,0,2,1,1,NA
2006,NA,NA,NA,90,2,NA,NA,NA,NA,NA,NA,NA,NA
2006,24,NA,NA,NA,2,1,2,1,NA,1,3,3,NA
2006,NA,NA,NA,NA,2,NA,NA,NA,1,1,1,1,NA
2006,NA,NA,NA,5,1,NA,NA,NA,NA,2,3,3,NA
2006,NA,NA,NA,14,2,2,2,1,1,2,1,1,NA
2006,NA,NA,NA,NA,2,2,1,2,1,2,2,2,NA
2006,21,NA,NA,NA,2,2,2,1,1,2,1,1,NA
2006,NA,NA,NA,13,2,NA,NA,NA,1,2,4,4,NA
2006,NA,NA,NA,NA,2,NA,NA,NA,1,2,2,2,NA
2006,32,NA,NA,NA,2,2,2,1,0,1,2,2,NA
2006,NA,NA,NA,13,2,2,2,1,1,2,2,2,NA
2006,NA,NA,NA,NA,2,2,2,1,1,2,2,2,NA
2006,21,NA,NA,19,2,2,2,1,1,2,2,2,NA
2006,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA
2006,NA,NA,NA,97,1,NA,NA,NA,0,1,1,1,NA
2006,NA,NA,NA,NA,2,2,2,1,0,1,2,2,NA
2006,NA,NA,NA,31,2,2,2,1,1,2,3,3,NA
2006,NA,NA,NA,NA,2,2,2,1,1,2,1,1,NA
2006,33,NA,NA,13,1,2,2,1,0,1,1,1,NA
2006,NA,NA,NA,NA,2,2,2,1,0,2,1,1,NA
2006,NA,NA,NA,NA,1,NA,NA,NA,0,1,1,1,NA
2006,NA,NA,NA,33,2,2,1,2,1,2,2,2,NA
2006,22,NA,NA,NA,2,2,2,1,1,2,1,1,NA
2006,NA,NA,NA,NA,2,NA,NA,NA,NA,2,1,1,NA
2006,NA,NA,NA,1,2,NA,NA,NA,0,1,4,4,NA
2006,NA,NA,NA,36,2,2,2,1,NA,2,1,1,NA
2006,NA,NA,NA,NA,2,2,2,1,1,1,2,2,NA
