survey_year,gender,age,education,income,marital_status,employment,state,citizenship_status,place_birth,parent_nativity,immigrant_generation,immigration_levels_opinion,legalization_support,deportation_worry,political_party
2004,NA,NA,NA,NA,NA,NA,32,NA,1,2,2,NA,1,NA,NA
2004,NA,NA,NA,NA,NA,NA,22,2,2,NA,1,NA,1,NA,NA
2004,NA,NA,NA,21,NA,NA,13,NA,1,3,2,NA,1,NA,NA
2004,NA,NA,NA,2,NA,NA,38,NA,1,1,3,NA,1,NA,NA
2004,NA,NA,NA,2,NA,NA,25,2,2,NA,1,NA,1,NA,NA
2004,NA,NA,NA,5,NA,NA,36,NA,1,1,3,NA,1,NA,NA
2004,NA,NA,NA,29,NA,NA,19,1,2,NA,1,NA,0,NA,NA
2004,NA,NA,NA,6,NA,NA,17,NA,1,3,2,NA,1,NA,NA
2004,NA,NA,NA,5,NA,NA,22,2,2,NA,1,NA,0,NA,NA
2004,NA,NA,NA,NA,NA,NA,36,NA,1,1,3,NA,1,NA,NA
2004,NA,NA,NA,11,NA,NA,4,NA,1,3,2,NA,NA,NA,NA
2004,NA,NA,NA,3,NA,NA,40,NA,1,1,3,NA,1,NA,NA
2004,NA,NA,NA,13,NA,NA,9,NA,1,2,2,NA,1,NA,NA
2004,NA,NA,NA,21,NA,NA,9,NA,1,NA,2,NA,NA,NA,NA
2004,NA,NA,NA,24,NA,NA,16,NA,1,1,3,NA,1,NA,NA
2004,NA,NA,NA,14,NA,NA,41,NA,1,2,2,NA,1,NA,NA
2004,NA,NA,NA,12,NA,NA,31,NA,1,2,2,NA,0,NA,NA
2004,NA,NA,NA,24,NA,NA,25,NA,1,NA,2,NA,1,NA,NA
2004,NA,NA,NA,6,NA,NA,28,1,2,NA,1,NA,1,NA,NA
2004,NA,NA,NA,NA,NA,NA,19,NA,1,3,2,NA,1,NA,NA
2004,NA,NA,NA,26,NA,NA,38,NA,1,2,2,NA,1,NA,NA
2004,NA,NA,NA,NA,NA,NA,4,2,2,NA,1,NA,1,NA,NA
