generation_label,mean_lib_Post-2016,mean_lib_Pre-2016,mean_rest_Post-2016,mean_rest_Pre-2016,n_Post-2016,n_Pre-2016,lib_change,rest_change
First Generation,0.09287157944851211,-0.18266461031070882,0.0218517291790534,-0.07768200894348078,5940,6948,0.27553618975922095,0.09953373812253417
Second Generation,-0.13914247985069958,0.0034986241840003368,-0.033548700589628326,0.06752607544341589,5294,4167,-0.14264110403469993,-0.10107477603304421
Third+ Generation,0.16188266656703348,0.2694473199195124,0.05060556488398445,0.052687642919334574,1025,1590,-0.10756465335247889,-0.0020820780353501267
