generation_label,mean_value,sd_value,cv,n_years,year_range,variable
First Generation,-0.05589239327022802,0.18724906967676563,3.350170903783912,8,2002-2022,mean_lib
Second Generation,-0.03365270936556504,0.11123519757119008,3.3053860942623214,8,2002-2022,mean_lib
Third+ Generation,0.19873913596766263,0.14889853516269397,0.7492159731786378,8,2002-2022,mean_lib
First Generation,-0.05053451313665837,0.08440704049842848,1.670285024220379,9,2002-2022,mean_rest
Second Generation,0.060842147768576146,0.09636059657325516,1.5837803251091613,9,2002-2022,mean_rest
Third+ Generation,-0.011242135056353656,0.20045494094248406,17.830682511610107,8,2002-2022,mean_rest
