survey_year,age,gender,race,ethnicity,language_home,citizenship_status,place_birth,immigrant_generation,immigration_attitude,border_security_attitude,political_party,vote_intention,approval_rating
2002,24,NA,NA,1,1,1,2,2,1,3,2,NA,NA
2002,47,NA,NA,1,2,1,1,1,1,1,1,NA,NA
2002,39,NA,NA,1,2,1,1,1,1,3,1,NA,NA
2002,35,NA,NA,1,2,2,1,1,1,1,3,NA,NA
2002,52,NA,NA,1,2,2,1,1,1,1,NA,NA,NA
2002,18,NA,NA,1,1,1,2,3,1,1,3,NA,NA
2002,39,NA,NA,1,2,2,1,1,1,2,1,NA,NA
2002,59,NA,NA,1,1,1,2,1,1,3,1,NA,NA
2002,44,NA,NA,1,2,1,1,1,1,1,1,NA,NA
2002,35,NA,NA,1,2,2,1,1,1,3,2,NA,NA
2002,19,NA,NA,1,1,1,2,2,1,3,NA,NA,NA
2002,37,NA,NA,1,2,2,1,1,1,3,3,NA,NA
2002,41,NA,NA,1,1,1,1,1,1,1,2,NA,NA
2002,32,NA,NA,1,2,2,1,1,1,2,NA,NA,NA
2002,36,NA,NA,1,2,1,1,1,1,3,1,NA,NA
2002,28,NA,NA,1,2,2,1,1,1,3,3,NA,NA
2002,45,NA,NA,1,1,1,1,1,1,3,1,NA,NA
2002,35,NA,NA,1,2,1,2,1,1,1,2,NA,NA
2002,23,NA,NA,1,1,1,2,2,1,1,1,NA,NA
2002,36,NA,NA,2,NA,NA,NA,NA,0,1,1,NA,NA
2002,63,NA,NA,1,2,1,2,NA,1,1,1,NA,NA
2002,66,NA,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA
2002,71,NA,NA,2,NA,NA,NA,NA,1,3,2,NA,NA
2002,22,NA,NA,1,1,1,2,2,1,NA,1,NA,NA
2002,34,NA,NA,1,2,2,1,1,1,1,2,NA,NA
2002,22,NA,NA,1,1,1,2,3,NA,3,3,NA,NA
2002,37,NA,NA,2,NA,NA,NA,NA,1,3,2,NA,NA
2002,69,NA,NA,2,NA,NA,NA,NA,1,3,3,NA,NA
2002,60,NA,NA,2,NA,NA,NA,NA,1,1,1,NA,NA
2002,53,NA,NA,1,1,1,2,1,0,1,1,NA,NA
2002,56,NA,NA,1,2,1,2,1,1,1,1,NA,NA
2002,42,NA,NA,1,1,1,2,2,1,1,2,NA,NA
2002,23,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA
2002,30,NA,NA,1,1,1,2,2,1,3,3,NA,NA
2002,38,NA,NA,1,1,1,2,2,1,1,3,NA,NA
2002,27,NA,NA,1,1,1,2,3,0,1,1,NA,NA
2002,27,NA,NA,1,2,2,1,1,1,1,3,NA,NA
2002,71,NA,NA,2,NA,NA,NA,NA,1,3,2,NA,NA
2002,30,NA,NA,1,2,2,1,1,0,1,NA,NA,NA
2002,21,NA,NA,2,NA,NA,NA,NA,1,3,3,NA,NA
2002,33,NA,NA,1,2,2,1,1,1,2,3,NA,NA
2002,40,NA,NA,1,1,1,2,2,NA,1,1,NA,NA
2002,28,NA,NA,1,2,2,1,1,1,1,2,NA,NA
2002,55,NA,NA,1,2,1,1,1,1,1,1,NA,NA
2002,24,NA,NA,1,1,1,2,2,1,1,3,NA,NA
2002,32,NA,NA,1,2,1,2,1,1,3,1,NA,NA
2002,22,NA,NA,1,2,2,1,1,1,1,2,NA,NA
2002,42,NA,NA,1,2,2,1,1,1,1,1,NA,NA
2002,41,NA,NA,1,2,1,1,1,1,1,1,NA,NA
2002,36,NA,NA,1,1,2,1,1,1,1,1,NA,NA
2002,24,NA,NA,1,2,2,1,1,1,1,NA,NA,NA
2002,27,NA,NA,1,1,1,1,1,1,3,3,NA,NA
2002,31,NA,NA,1,1,1,2,2,0,1,1,NA,NA
2002,21,NA,NA,1,2,1,1,1,1,1,1,NA,NA
2002,32,NA,NA,1,2,2,1,1,1,3,3,NA,NA
2002,37,NA,NA,1,2,2,1,1,1,1,2,NA,NA
2002,30,NA,NA,1,2,2,1,1,1,3,1,NA,NA
2002,18,NA,NA,1,2,2,1,1,1,1,2,NA,NA
2002,63,NA,NA,1,1,1,1,1,1,1,2,NA,NA
2002,33,NA,NA,1,1,1,2,2,1,3,1,NA,NA
2002,41,NA,NA,1,2,2,1,1,1,1,NA,NA,NA
2002,35,NA,NA,1,1,1,2,3,1,3,1,NA,NA
2002,36,NA,NA,1,1,1,2,3,1,3,NA,NA,NA
2002,49,NA,NA,2,NA,NA,NA,NA,1,1,3,NA,NA
2002,40,NA,NA,1,1,1,2,2,1,3,NA,NA,NA
2002,63,NA,NA,1,1,1,2,2,0,3,1,NA,NA
2002,24,NA,NA,1,1,1,2,2,1,3,NA,NA,NA
2002,53,NA,NA,1,1,1,2,NA,0,1,1,NA,NA
2002,68,NA,NA,1,1,1,2,2,1,3,1,NA,NA
2002,40,NA,NA,1,1,1,2,3,1,1,1,NA,NA
2002,43,NA,NA,1,2,2,1,1,1,3,3,NA,NA
2002,37,NA,NA,1,2,2,1,1,1,3,3,NA,NA
2002,68,NA,NA,1,2,1,2,1,1,1,1,NA,NA
2002,31,NA,NA,1,2,1,2,1,0,1,NA,NA,NA
2002,57,NA,NA,1,2,1,2,1,1,1,1,NA,NA
2002,62,NA,NA,1,2,1,2,1,1,1,1,NA,NA
2002,42,NA,NA,1,1,2,1,1,1,NA,NA,NA,NA
2002,41,NA,NA,1,2,1,1,1,1,1,1,NA,NA
2002,23,NA,NA,1,1,1,2,3,0,1,1,NA,NA
2002,19,NA,NA,1,1,1,2,3,1,3,1,NA,NA
2002,25,NA,NA,1,2,2,1,1,1,1,NA,NA,NA
2002,50,NA,NA,1,2,1,1,1,1,3,1,NA,NA
2002,30,NA,NA,1,2,2,1,1,1,3,1,NA,NA
2002,33,NA,NA,1,1,1,1,1,1,3,1,NA,NA
2002,66,NA,NA,1,1,1,1,1,1,1,1,NA,NA
2002,34,NA,NA,1,2,2,1,1,1,3,NA,NA,NA
2002,46,NA,NA,1,2,2,1,1,1,3,3,NA,NA
2002,18,NA,NA,1,1,1,2,3,1,3,3,NA,NA
2002,42,NA,NA,1,1,1,1,1,1,1,1,NA,NA
2002,32,NA,NA,1,1,2,1,1,0,3,2,NA,NA
2002,62,NA,NA,2,NA,NA,NA,NA,1,3,NA,NA,NA
2002,55,NA,NA,1,2,1,1,1,1,1,1,NA,NA
2002,36,NA,NA,1,2,2,1,1,1,3,2,NA,NA
2002,22,NA,NA,1,2,2,1,1,1,1,1,NA,NA
2002,46,NA,NA,1,2,1,2,1,1,1,1,NA,NA
2002,41,NA,NA,1,1,1,2,3,1,1,1,NA,NA
2002,32,NA,NA,1,2,2,1,1,1,1,3,NA,NA
2002,18,NA,NA,1,1,1,2,2,1,3,2,NA,NA
2002,26,NA,NA,1,2,2,1,1,1,3,3,NA,NA
2002,51,NA,NA,1,2,2,1,1,1,1,3,NA,NA
2002,33,NA,NA,1,2,1,2,1,1,3,1,NA,NA
2002,25,NA,NA,2,NA,NA,NA,NA,1,3,2,NA,NA
2002,34,NA,NA,1,2,2,1,1,1,1,3,NA,NA
2002,25,NA,NA,1,2,2,1,1,1,2,3,NA,NA
2002,29,NA,NA,1,2,2,1,1,1,2,3,NA,NA
2002,50,NA,NA,1,2,2,1,1,1,3,1,NA,NA
2002,51,NA,NA,1,1,1,2,2,1,1,3,NA,NA
2002,31,NA,NA,1,1,2,1,1,1,3,2,NA,NA
2002,38,NA,NA,1,2,2,1,1,1,3,NA,NA,NA
2002,27,NA,NA,1,1,1,2,1,1,3,NA,NA,NA
2002,37,NA,NA,1,2,1,2,1,1,3,1,NA,NA
2002,37,NA,NA,1,1,1,2,1,1,3,2,NA,NA
2002,64,NA,NA,1,2,1,1,1,1,1,2,NA,NA
2002,18,NA,NA,1,1,2,1,1,0,1,3,NA,NA
2002,38,NA,NA,1,2,2,1,1,1,1,NA,NA,NA
2002,62,NA,NA,1,1,1,2,2,0,1,3,NA,NA
2002,64,NA,NA,1,2,1,2,1,1,1,1,NA,NA
2002,45,NA,NA,1,1,1,1,1,0,3,NA,NA,NA
2002,35,NA,NA,1,2,2,1,1,1,1,1,NA,NA
2002,68,NA,NA,1,2,1,2,1,1,1,1,NA,NA
2002,29,NA,NA,1,1,1,2,2,1,1,NA,NA,NA
2002,42,NA,NA,2,NA,NA,NA,NA,1,3,1,NA,NA
2002,60,NA,NA,1,2,1,1,1,1,2,1,NA,NA
2002,19,NA,NA,1,1,2,1,1,1,1,NA,NA,NA
2002,38,NA,NA,1,1,1,2,2,0,1,NA,NA,NA
2002,36,NA,NA,1,2,2,1,1,1,1,NA,NA,NA
2002,35,NA,NA,1,2,2,1,1,1,3,1,NA,NA
2002,49,NA,NA,1,2,1,1,1,1,1,NA,NA,NA
2002,25,NA,NA,1,2,2,1,1,1,1,3,NA,NA
2002,49,NA,NA,1,1,1,2,2,1,2,1,NA,NA
2002,60,NA,NA,2,NA,NA,NA,NA,0,1,1,NA,NA
2002,48,NA,NA,1,2,1,2,1,1,3,1,NA,NA
2002,40,NA,NA,1,2,2,1,1,NA,2,3,NA,NA
2002,30,NA,NA,1,2,2,1,1,1,3,1,NA,NA
2002,53,NA,NA,1,2,1,1,1,1,NA,2,NA,NA
2002,40,NA,NA,1,2,1,1,1,1,2,1,NA,NA
2002,50,NA,NA,1,2,1,2,2,1,3,3,NA,NA
2002,60,NA,NA,1,2,1,1,1,1,2,1,NA,NA
2002,70,NA,NA,2,NA,NA,NA,NA,0,1,1,NA,NA
2002,22,NA,NA,1,2,1,1,1,1,1,2,NA,NA
2002,24,NA,NA,1,2,2,1,1,1,1,3,NA,NA
2002,47,NA,NA,1,1,1,2,3,1,1,3,NA,NA
2002,47,NA,NA,1,1,1,2,3,1,3,2,NA,NA
2002,39,NA,NA,1,2,2,1,1,1,3,3,NA,NA
2002,75,NA,NA,1,2,1,1,1,1,1,2,NA,NA
2002,26,NA,NA,1,1,1,2,2,1,3,2,NA,NA
2002,43,NA,NA,1,2,2,1,1,1,1,2,NA,NA
2002,59,NA,NA,1,2,2,1,1,1,2,NA,NA,NA
2002,54,NA,NA,1,2,1,2,1,NA,1,1,NA,NA
2002,46,NA,NA,1,1,2,1,1,1,3,3,NA,NA
2002,28,NA,NA,1,1,1,2,2,0,1,NA,NA,NA
2002,81,NA,NA,2,NA,NA,NA,NA,0,1,2,NA,NA
2002,40,NA,NA,1,2,2,1,1,1,3,NA,NA,NA
2002,32,NA,NA,1,2,2,1,1,1,3,3,NA,NA
2002,52,NA,NA,2,NA,NA,NA,NA,0,1,3,NA,NA
2002,33,NA,NA,2,NA,NA,NA,NA,1,3,3,NA,NA
2002,24,NA,NA,1,2,2,1,1,1,1,1,NA,NA
2002,21,NA,NA,1,2,1,2,1,1,1,2,NA,NA
2002,42,NA,NA,1,2,1,2,1,1,3,1,NA,NA
2002,44,NA,NA,1,2,2,1,1,1,1,3,NA,NA
2002,58,NA,NA,1,2,1,1,1,1,1,2,NA,NA
2002,26,NA,NA,1,2,2,1,1,1,2,2,NA,NA
2002,39,NA,NA,1,1,1,2,3,1,3,3,NA,NA
2002,19,NA,NA,1,2,1,2,2,1,1,NA,NA,NA
2002,79,NA,NA,1,2,1,1,1,1,3,1,NA,NA
2002,22,NA,NA,1,1,2,1,1,1,1,3,NA,NA
2002,39,NA,NA,2,NA,NA,NA,NA,1,3,1,NA,NA
2002,46,NA,NA,1,2,2,1,1,1,1,1,NA,NA
2002,80,NA,NA,1,2,1,1,1,1,1,2,NA,NA
2002,40,NA,NA,1,1,1,2,2,1,1,2,NA,NA
2002,28,NA,NA,1,2,1,2,2,1,1,1,NA,NA
2002,45,NA,NA,1,2,2,1,1,1,3,2,NA,NA
2002,25,NA,NA,1,1,1,2,2,1,3,1,NA,NA
2002,24,NA,NA,1,1,1,2,2,1,3,2,NA,NA
2002,74,NA,NA,1,2,1,1,1,1,3,1,NA,NA
2002,68,NA,NA,1,2,2,1,1,1,NA,2,NA,NA
2002,59,NA,NA,1,2,1,2,1,1,1,1,NA,NA
2002,19,NA,NA,1,2,1,1,1,1,3,2,NA,NA
2002,88,NA,NA,1,2,1,1,1,1,1,2,NA,NA
2002,40,NA,NA,1,2,2,1,1,1,1,NA,NA,NA
2002,36,NA,NA,1,2,1,2,1,0,1,1,NA,NA
2002,53,NA,NA,1,2,2,1,1,NA,NA,NA,NA,NA
2002,20,NA,NA,1,1,1,2,3,1,3,3,NA,NA
2002,49,NA,NA,1,2,1,2,1,1,1,1,NA,NA
2002,36,NA,NA,1,1,1,2,NA,1,2,2,NA,NA
2002,19,NA,NA,1,2,NA,1,1,1,3,2,NA,NA
2002,42,NA,NA,1,2,2,1,1,1,1,NA,NA,NA
2002,40,NA,NA,1,1,1,1,1,1,3,1,NA,NA
2002,24,NA,NA,1,1,1,2,3,1,1,2,NA,NA
2002,47,NA,NA,1,2,2,1,1,1,1,3,NA,NA
2002,58,NA,NA,1,1,1,2,3,0,1,3,NA,NA
2002,27,NA,NA,1,2,2,1,1,1,3,NA,NA,NA
2002,36,NA,NA,1,2,2,1,1,1,NA,NA,NA,NA
2002,33,NA,NA,1,2,2,1,1,1,1,1,NA,NA
2002,58,NA,NA,1,1,1,2,3,1,3,1,NA,NA
2002,24,NA,NA,1,1,1,2,2,1,3,NA,NA,NA
2002,46,NA,NA,1,2,1,2,1,1,3,3,NA,NA
2002,44,NA,NA,1,2,1,2,1,1,1,NA,NA,NA
2002,45,NA,NA,2,NA,NA,NA,NA,NA,1,3,NA,NA
2002,24,NA,NA,1,1,1,2,3,1,1,1,NA,NA
2002,47,NA,NA,1,2,1,2,1,NA,1,1,NA,NA
2002,64,NA,NA,1,1,1,2,2,1,1,1,NA,NA
2002,29,NA,NA,1,2,1,2,2,1,1,3,NA,NA
2002,20,NA,NA,1,1,1,2,3,0,1,NA,NA,NA
2002,71,NA,NA,1,2,2,1,1,1,3,NA,NA,NA
2002,37,NA,NA,1,2,2,1,1,1,1,1,NA,NA
2002,21,NA,NA,1,1,1,2,3,1,1,NA,NA,NA
2002,36,NA,NA,1,2,1,2,3,1,2,1,NA,NA
2002,70,NA,NA,1,1,1,2,2,1,NA,1,NA,NA
2002,18,NA,NA,1,1,1,1,1,1,1,1,NA,NA
2002,38,NA,NA,1,1,1,2,2,1,1,1,NA,NA
2002,38,NA,NA,1,1,1,2,3,1,3,2,NA,NA
2002,32,NA,NA,1,2,2,1,1,1,1,3,NA,NA
2002,57,NA,NA,1,2,2,1,1,1,1,1,NA,NA
2002,23,NA,NA,1,2,2,1,1,1,3,2,NA,NA
2002,40,NA,NA,1,2,2,1,1,1,1,3,NA,NA
2002,50,NA,NA,1,2,2,1,1,1,1,NA,NA,NA
2002,51,NA,NA,1,2,2,1,1,1,3,3,NA,NA
2002,31,NA,NA,1,2,2,1,1,1,1,NA,NA,NA
2002,40,NA,NA,1,2,2,1,1,1,1,3,NA,NA
2002,25,NA,NA,1,2,1,1,1,0,1,3,NA,NA
2002,50,NA,NA,1,2,2,1,1,1,3,2,NA,NA
2002,46,NA,NA,1,2,2,1,1,1,1,3,NA,NA
2002,18,NA,NA,1,1,1,2,3,0,1,1,NA,NA
2002,27,NA,NA,1,2,1,1,1,1,1,3,NA,NA
2002,43,NA,NA,1,1,1,2,3,0,1,1,NA,NA
2002,54,NA,NA,1,2,2,1,1,NA,3,1,NA,NA
2002,49,NA,NA,1,2,2,1,1,1,3,NA,NA,NA
2002,24,NA,NA,1,1,2,1,1,1,1,2,NA,NA
2002,25,NA,NA,1,1,1,2,3,1,3,1,NA,NA
2002,57,NA,NA,1,2,2,1,1,1,1,2,NA,NA
2002,26,NA,NA,1,1,1,2,1,1,1,1,NA,NA
2002,39,NA,NA,1,1,1,2,2,1,1,3,NA,NA
2002,38,NA,NA,1,1,1,2,3,1,1,3,NA,NA
2002,26,NA,NA,1,2,2,1,1,1,1,1,NA,NA
2002,27,NA,NA,1,1,1,2,3,1,1,1,NA,NA
2002,73,NA,NA,1,1,1,2,2,1,3,1,NA,NA
