gender,age,education,income,marital_status,employment,state,citizenship_status,place_birth,parent_nativity,immigrant_generation,immigration_levels_opinion,legalization_support,deportation_worry,political_party
1,24,2,23,1,1,33,1,1,3,2,3,1,NA,1
1,47,1,NA,5,1,33,1,2,NA,1,1,1,NA,2
0,39,1,11,2,1,33,1,2,NA,1,3,1,NA,2
1,35,1,12,2,1,33,NA,2,NA,1,1,1,NA,3
1,52,1,3,5,3,33,NA,2,NA,1,1,1,NA,NA
0,18,1,11,NA,3,33,1,1,1,3,1,1,NA,3
1,39,1,5,1,1,33,NA,2,NA,1,2,1,NA,2
0,59,1,13,1,1,33,1,1,3,2,3,1,NA,2
0,44,1,5,NA,1,33,1,2,NA,1,1,1,NA,2
1,35,1,6,1,1,33,NA,2,NA,1,3,1,NA,1
0,19,1,4,NA,1,33,1,1,3,2,3,1,NA,NA
0,37,2,2,1,1,33,NA,2,NA,1,3,1,NA,3
0,41,1,22,2,1,33,1,2,NA,1,1,1,NA,1
1,32,1,3,1,1,33,NA,2,NA,1,2,1,NA,NA
0,36,1,4,2,1,33,1,2,NA,1,3,1,NA,2
0,28,1,NA,NA,1,33,NA,2,NA,1,3,1,NA,3
0,45,1,4,1,1,33,1,2,NA,1,3,1,NA,2
0,35,2,6,2,1,33,1,1,3,2,1,1,NA,1
0,23,1,21,2,2,33,1,1,3,2,1,1,NA,2
0,36,1,3,NA,3,4,NA,NA,NA,NA,1,0.5,NA,2
0,63,1,3,1,3,4,1,1,1,3,1,1,NA,2
1,66,1,12,1,3,4,NA,NA,NA,NA,NA,1,NA,2
1,71,2,13,3,3,4,NA,NA,NA,NA,3,1,NA,1
0,22,1,24,1,1,4,1,1,3,2,NA,1,NA,2
0,34,1,1,NA,1,4,NA,2,NA,1,1,1,NA,1
1,22,1,13,1,1,4,1,1,1,3,3,NA,NA,3
1,37,2,24,1,1,4,NA,NA,NA,NA,3,1,NA,1
1,69,2,11,4,3,4,NA,NA,NA,NA,3,1,NA,3
0,60,1,2,4,3,4,NA,NA,NA,NA,1,1,NA,2
0,53,1,5,1,3,33,1,1,3,2,1,0.5,NA,2
0,56,1,1,NA,2,33,1,1,1,3,1,1,NA,2
0,42,1,3,1,1,33,1,1,3,2,1,1,NA,1
0,23,1,NA,2,3,4,NA,NA,NA,NA,NA,1,NA,NA
1,30,1,21,NA,1,33,1,1,3,2,3,1,NA,3
0,38,1,4,NA,1,33,1,1,2,2,1,1,NA,3
0,27,1,12,NA,1,33,1,1,1,3,1,0.5,NA,2
1,27,1,2,1,1,33,NA,2,NA,1,1,1,NA,3
1,71,1,3,4,3,4,NA,NA,NA,NA,3,1,NA,1
0,30,1,3,1,1,4,NA,2,NA,1,1,0.5,NA,NA
0,21,1,2,NA,3,4,NA,NA,NA,NA,3,1,NA,3
0,33,1,3,1,2,4,NA,2,NA,1,2,1,NA,3
0,40,1,3,4,2,33,1,1,3,2,1,NA,NA,2
1,28,2,4,1,1,33,NA,2,NA,1,1,1,NA,1
0,55,1,1,5,3,4,1,2,NA,1,1,1,NA,2
1,24,2,NA,2,1,33,1,1,3,2,1,1,NA,3
0,32,2,24,1,1,33,1,1,3,2,3,1,NA,2
1,22,2,NA,NA,1,33,NA,2,NA,1,1,1,NA,1
0,42,2,6,2,2,33,NA,2,NA,1,1,1,NA,2
0,41,1,2,1,3,33,1,2,NA,1,1,1,NA,2
0,36,1,2,NA,1,33,NA,2,NA,1,1,1,NA,2
0,24,1,1,NA,2,4,NA,2,NA,1,1,1,NA,NA
0,27,1,NA,1,2,33,1,2,NA,1,3,1,NA,3
0,31,2,22,1,1,33,1,1,3,2,1,0.5,NA,2
0,21,1,21,1,1,33,1,2,NA,1,1,1,NA,2
1,32,1,4,NA,3,33,NA,2,NA,1,3,1,NA,3
1,37,1,4,2,1,4,NA,2,NA,1,1,1,NA,1
0,30,1,6,1,2,33,NA,2,NA,1,3,1,NA,2
0,18,1,3,NA,3,33,NA,2,NA,1,1,1,NA,1
