generation_label,years_available,mean_liberalism,min_liberalism,max_liberalism,liberalism_range,liberalism_sd
1st Generation,8,-0.055892393270228026,-0.2973514896725255,0.3251124955621864,0.6224639852347119,0.18724906967676563
2nd Generation,7,-0.005122172613055345,-0.15059079051882637,0.08488535485202917,0.23547614537085554,0.082693569598124
3rd+ Generation,7,0.20036288342948197,0.00308780204293739,0.4877345199966715,0.4846467179537341,0.16075227799799363
