generation_label,lib_variance,lib_sd,lib_coefficient_of_variation,res_variance,res_sd,res_coefficient_of_variation,n_years_lib,n_years_res
1st Generation,0.03506221409481423,0.18724906967676563,3.3501709037839116,0.007124548485703346,0.08440704049842848,1.670285024220379,8,9
2nd Generation,0.006838226452879777,0.082693569598124,16.144237190944214,0.006646529191786854,0.08152624848345993,1.0130412610024744,7,8
3rd+ Generation,0.025841294881544224,0.16075227799799363,0.8023056728197399,0.0378303931961835,0.1945003681132339,9.776381101610776,7,7
