survey_year,age,gender,race,ethnicity,language_home,citizenship_status,place_birth,immigrant_generation,immigration_attitude,border_security_attitude,political_party,vote_intention,approval_rating
2008,24,2,NA,7,NA,NA,92,NA,3,2,2,3,NA
2008,20,2,NA,1,NA,1,18,NA,3,2,2,2,NA
2008,31,2,NA,2,NA,NA,91,NA,2,2,4,4,NA
2008,33,2,NA,2,NA,NA,92,NA,2,2,2,1,NA
2008,39,1,NA,2,NA,NA,92,NA,2,1,2,1,NA
2008,30,2,NA,1,NA,NA,92,NA,1,2,2,4,NA
2008,24,2,NA,97,NA,NA,92,NA,3,2,2,2,NA
2008,47,1,NA,1,NA,NA,91,NA,1,2,2,1,NA
2008,54,2,NA,7,NA,NA,92,NA,1,1,1,1,NA
2008,22,2,NA,2,NA,NA,92,NA,1,2,3,2,NA
2008,40,2,NA,97,NA,1,97,NA,2,2,3,1,NA
2008,27,2,NA,1,NA,NA,92,NA,1,2,1,2,NA
2008,19,1,NA,1,NA,2,18,NA,1,2,2,5,NA
2008,37,1,NA,1,NA,2,97,NA,2,2,2,5,NA
2008,42,1,NA,10,NA,1,5,NA,4,1,1,1,NA
2008,23,1,NA,1,NA,NA,92,NA,3,1,2,1,NA
2008,32,2,NA,2,NA,NA,92,NA,3,1,2,4,NA
2008,79,2,NA,1,NA,NA,92,NA,1,1,1,1,NA
2008,41,1,NA,NA,NA,NA,92,NA,4,1,2,4,NA
2008,30,1,NA,5,NA,2,12,NA,1,2,2,5,NA
2008,30,1,NA,1,NA,2,18,NA,2,2,3,5,NA
2008,21,1,NA,3,NA,NA,92,NA,2,2,2,1,NA
2008,19,1,NA,1,NA,2,18,NA,1,2,2,5,NA
2008,21,2,NA,1,NA,NA,92,NA,2,2,1,1,NA
2008,26,2,NA,1,NA,2,18,NA,2,2,2,5,NA
2008,19,2,NA,2,NA,NA,92,NA,2,2,1,4,NA
2008,18,2,NA,1,NA,NA,92,NA,1,2,2,4,NA
2008,69,1,NA,2,NA,NA,91,NA,4,1,2,1,NA
2008,27,1,NA,1,NA,2,97,NA,2,2,NA,5,NA
2008,35,2,NA,4,NA,1,10,NA,1,2,2,1,NA
2008,60,1,NA,1,NA,1,18,NA,4,2,1,4,NA
2008,33,2,NA,1,NA,NA,92,NA,1,NA,2,4,NA
2008,37,1,NA,1,NA,2,18,NA,1,2,2,5,NA
