survey_year,age,gender,race,ethnicity,language_home,citizenship_status,place_birth,immigrant_generation,trump_support,border_wall_support,immigration_level_concern,immigration_restrictionism_composite,party_identification,immigration_attitude,border_security_attitude,political_party,vote_intention,approval_rating
2018,63,1,NA,NA,NA,NA,2,1,0,0,0,0,1,0,0,1,NA,0
2018,45,2,NA,NA,NA,NA,2,1,1,0,NA,1,1,1,0,1,NA,1
2018,27,1,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,58,1,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,2,NA,0
2018,52,1,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,52,1,NA,NA,NA,NA,1,2,0,0,0,0,3,0,0,3,NA,0
2018,34,1,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,0,3,NA,0
2018,52,2,NA,NA,NA,NA,1,2,0,0,1,1,2,1,0,2,NA,0
2018,25,2,NA,NA,NA,NA,NA,NA,1,1,0,2,3,2,1,3,NA,1
2018,25,1,NA,NA,NA,NA,1,3,1,0,0,1,3,1,0,3,NA,1
2018,61,1,NA,NA,NA,NA,2,1,NA,0,0,0,2,0,0,2,NA,NA
2018,47,1,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,2,NA,0
2018,37,2,NA,NA,NA,NA,2,1,NA,0,NA,0,4,0,0,4,NA,NA
2018,40,1,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,0,3,NA,0
2018,50,2,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,55,1,NA,NA,NA,NA,2,1,0,0,0,0,1,0,0,1,NA,0
2018,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,0,4,0,0,4,NA,0
2018,40,2,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,26,1,NA,NA,NA,NA,1,3,1,1,0,2,3,2,1,3,NA,1
2018,67,1,NA,NA,NA,NA,1,3,0,0,0,0,2,0,0,2,NA,0
2018,65,1,NA,NA,NA,NA,1,2,NA,0,1,1,3,1,0,3,NA,NA
2018,61,1,NA,NA,NA,NA,2,1,0,0,1,1,1,1,0,1,NA,0
2018,82,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,77,1,NA,NA,NA,NA,2,1,0,0,NA,0,NA,0,0,NA,NA,0
2018,45,1,NA,NA,NA,NA,2,1,1,0,0,1,NA,1,0,NA,NA,1
2018,45,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,NA,0
2018,54,1,NA,NA,NA,NA,2,1,1,0,1,2,4,2,0,4,NA,1
2018,45,2,NA,NA,NA,NA,2,1,0,0,NA,0,2,0,0,2,NA,0
2018,52,2,NA,NA,NA,NA,1,3,0,0,1,1,3,1,0,3,NA,0
2018,29,1,NA,NA,NA,NA,2,1,0,0,NA,0,2,0,0,2,NA,0
2018,84,2,NA,NA,NA,NA,1,2,1,1,1,3,1,3,1,1,NA,1
2018,60,2,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,NA,0
2018,47,1,NA,NA,NA,NA,NA,NA,1,1,0,2,4,2,1,4,NA,1
2018,22,1,NA,NA,NA,NA,2,1,0,1,0,1,3,1,1,3,NA,0
2018,45,2,NA,NA,NA,NA,1,2,0,0,1,1,4,1,0,4,NA,0
2018,30,1,NA,NA,NA,NA,2,1,0,0,NA,0,4,0,0,4,NA,0
2018,68,1,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,42,1,NA,NA,NA,NA,1,3,0,0,0,0,2,0,0,2,NA,0
2018,21,1,NA,NA,NA,NA,1,3,1,0,0,1,3,1,0,3,NA,1
2018,35,1,NA,NA,NA,NA,1,3,1,1,1,3,3,3,1,3,NA,1
2018,48,2,NA,NA,NA,NA,2,1,1,1,0,2,3,2,1,3,NA,1
2018,51,2,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,2,NA,0
2018,20,1,NA,NA,NA,NA,2,1,1,0,1,2,3,2,0,3,NA,1
2018,NA,1,NA,NA,NA,NA,1,2,0,0,1,1,2,1,0,2,NA,0
2018,50,1,NA,NA,NA,NA,2,1,0,0,0,0,3,0,0,3,NA,0
2018,56,1,NA,NA,NA,NA,2,1,0,0,0,0,2,0,0,2,NA,0
2018,55,1,NA,NA,NA,NA,2,1,0,0,1,1,3,1,0,3,NA,0
2018,81,1,NA,NA,NA,NA,2,1,1,1,1,3,1,3,1,1,NA,1
2018,35,1,NA,NA,NA,NA,1,3,0,0,0,0,1,0,0,1,NA,0
2018,18,1,NA,NA,NA,NA,2,1,1,0,1,2,1,2,0,1,NA,1
2018,57,1,NA,NA,NA,NA,2,1,NA,0,0,0,2,0,0,2,NA,NA
2018,19,2,NA,NA,NA,NA,1,2,0,0,NA,0,3,0,0,3,NA,0
2018,66,2,NA,NA,NA,NA,2,1,0,0,1,1,2,1,0,2,NA,0
