survey_year,age,gender,race,ethnicity,language_home,citizenship_status,place_birth,immigrant_generation,immigration_attitude,border_security_attitude,political_party,vote_intention,approval_rating
2007,24,2,NA,1,1,NA,1,2,1,2,NA,NA,NA
2007,39,2,NA,1,2,NA,1,3,0,3,3,NA,NA
2007,42,1,NA,1,1,2,2,1,1,2,NA,NA,NA
2007,40,1,NA,2,1,NA,1,3,1,3,NA,0,NA
2007,31,1,NA,1,1,2,2,1,1,3,2,NA,NA
2007,40,1,NA,4,1,2,2,1,1,2,NA,NA,NA
2007,87,2,NA,3,1,1,2,1,1,3,NA,1,NA
2007,64,1,NA,1,1,1,2,1,1,2,NA,1,NA
2007,34,2,NA,4,1,1,2,1,1,2,1,1,NA
2007,30,2,NA,1,2,2,2,1,1,NA,NA,NA,NA
2007,57,2,NA,1,2,NA,1,3,NA,NA,NA,NA,NA
2007,23,1,NA,4,1,2,2,1,1,2,3,NA,NA
2007,40,1,NA,1,1,NA,2,1,1,NA,NA,NA,NA
2007,65,2,NA,4,1,1,2,1,0,NA,NA,1,NA
2007,32,1,NA,6,1,2,2,1,1,2,1,NA,NA
2007,29,2,NA,1,1,2,2,1,1,3,2,NA,NA
2007,18,2,NA,3,2,1,2,1,1,3,3,NA,NA
2007,46,1,NA,1,2,NA,1,3,NA,3,NA,1,NA
2007,31,2,NA,1,2,NA,1,2,1,NA,NA,NA,NA
2007,47,2,NA,1,1,2,2,1,1,2,NA,NA,NA
2007,NA,2,NA,2,1,1,2,1,1,3,2,0,NA
2007,23,2,NA,1,2,2,2,1,1,3,3,NA,NA
2007,20,2,NA,1,1,2,2,1,1,3,3,NA,NA
2007,43,2,NA,1,1,1,2,1,1,3,NA,1,NA
2007,36,1,NA,97,2,NA,1,3,1,NA,NA,NA,NA
2007,73,1,NA,1,1,1,2,1,1,3,NA,1,NA
2007,28,2,NA,6,1,NA,1,2,0,3,NA,NA,NA
2007,70,1,NA,1,2,1,2,1,0,2,3,1,NA
2007,31,1,NA,1,1,1,2,1,1,2,3,0,NA
2007,64,1,NA,1,1,1,2,1,0,3,NA,1,NA
2007,63,1,NA,10,2,NA,1,3,1,2,NA,NA,NA
2007,55,1,NA,5,1,1,2,1,0,1,NA,1,NA
2007,45,2,NA,1,1,2,2,1,NA,3,NA,NA,NA
2007,52,1,NA,1,1,1,2,1,1,2,NA,1,NA
2007,51,2,NA,1,1,1,2,1,NA,NA,NA,0,NA
2007,18,2,NA,4,2,NA,1,2,0,2,2,NA,NA
2007,80,2,NA,7,1,1,2,1,1,3,NA,1,NA
2007,31,1,NA,1,1,2,2,1,1,NA,NA,NA,NA
2007,27,1,NA,2,1,NA,1,3,1,2,NA,0,NA
2007,24,1,NA,6,1,2,2,1,1,3,1,NA,NA
2007,58,2,NA,1,1,1,2,1,1,3,NA,1,NA
2007,36,1,NA,1,2,NA,1,3,0,2,2,NA,NA
2007,59,2,NA,2,2,NA,1,3,1,3,NA,1,NA
2007,44,1,NA,5,1,2,2,1,1,2,NA,NA,NA
2007,45,1,NA,1,2,NA,1,2,0,3,NA,NA,NA
2007,78,1,NA,1,2,NA,1,2,1,NA,NA,NA,NA
2007,40,2,NA,1,2,1,2,1,1,2,3,1,NA
2007,26,1,NA,1,1,2,2,1,1,2,3,NA,NA
