survey_year,age,gender,race,ethnicity,language_home,citizenship_status,place_birth,immigrant_generation,trump_support,border_wall_support,immigration_level_concern,border_asylum_performance,presidential_performance,crime_priority,immigration_restrictionism_composite,party_identification,immigration_attitude,border_security_attitude,political_party,vote_intention,approval_rating
2016,71,1,NA,NA,NA,NA,1,2,NA,0.5,NA,NA,NA,NA,0.5,1,0.5,0.5,1,NA,NA
2016,68,2,NA,NA,NA,NA,1,2,NA,0.25,NA,NA,NA,NA,0.25,1,0.25,0.25,1,NA,NA
2016,73,1,NA,NA,NA,NA,2,1,NA,0.25,NA,NA,NA,NA,0.25,3,0.25,0.25,3,NA,NA
2016,51,1,NA,NA,NA,NA,1,2,NA,0.5,NA,NA,NA,NA,0.5,1,0.5,0.5,1,NA,NA
2016,62,2,NA,NA,NA,NA,1,2,NA,0.5,NA,NA,NA,NA,0.5,2,0.5,0.5,2,NA,NA
2016,50,2,NA,NA,NA,NA,2,1,NA,0.5,NA,NA,NA,NA,0.5,3,0.5,0.5,3,NA,NA
2016,46,2,NA,NA,NA,NA,2,1,NA,0.5,NA,NA,NA,NA,0.5,NA,0.5,0.5,NA,NA,NA
2016,63,2,NA,NA,NA,NA,1,2,NA,0.75,NA,NA,NA,NA,0.75,2,0.75,0.75,2,NA,NA
2016,66,2,NA,NA,NA,NA,2,1,NA,0.75,NA,NA,NA,NA,0.75,2,0.75,0.75,2,NA,NA
2016,60,2,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA
2016,59,2,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,1,2,1,1,2,NA,NA
2016,80,1,NA,NA,NA,NA,2,1,NA,0.5,NA,NA,NA,NA,0.5,NA,0.5,0.5,NA,NA,NA
2016,64,2,NA,NA,NA,NA,1,2,NA,0.75,NA,NA,NA,NA,0.75,2,0.75,0.75,2,NA,NA
2016,43,2,NA,NA,NA,NA,1,3,NA,0.75,NA,NA,NA,NA,0.75,1,0.75,0.75,1,NA,NA
2016,61,2,NA,NA,NA,NA,1,3,NA,1,NA,NA,NA,NA,1,2,1,1,2,NA,NA
2016,61,1,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,1,3,1,1,3,NA,NA
2016,44,2,NA,NA,NA,NA,1,3,NA,1,NA,NA,NA,NA,1,2,1,1,2,NA,NA
2016,80,2,NA,NA,NA,NA,2,1,NA,0.75,NA,NA,NA,NA,0.75,2,0.75,0.75,2,NA,NA
2016,40,1,NA,NA,NA,NA,2,1,NA,0,NA,NA,NA,NA,0,3,0,0,3,NA,NA
2016,72,2,NA,NA,NA,NA,2,1,NA,0.25,NA,NA,NA,NA,0.25,3,0.25,0.25,3,NA,NA
2016,67,1,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,1,2,1,1,2,NA,NA
2016,45,2,NA,NA,NA,NA,2,1,NA,0.25,NA,NA,NA,NA,0.25,3,0.25,0.25,3,NA,NA
2016,56,1,NA,NA,NA,NA,2,1,NA,0.75,NA,NA,NA,NA,0.75,4,0.75,0.75,4,NA,NA
2016,70,2,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,1,2,1,1,2,NA,NA
2016,58,2,NA,NA,NA,NA,2,1,NA,0.5,NA,NA,NA,NA,0.5,3,0.5,0.5,3,NA,NA
2016,74,2,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,1,2,1,1,2,NA,NA
2016,47,2,NA,NA,NA,NA,2,1,NA,0.75,NA,NA,NA,NA,0.75,2,0.75,0.75,2,NA,NA
2016,31,2,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,1,2,1,1,2,NA,NA
2016,48,1,NA,NA,NA,NA,1,3,NA,0.5,NA,NA,NA,NA,0.5,3,0.5,0.5,3,NA,NA
2016,47,2,NA,NA,NA,NA,2,1,NA,0.75,NA,NA,NA,NA,0.75,2,0.75,0.75,2,NA,NA
2016,56,1,NA,NA,NA,NA,2,1,NA,0.75,NA,NA,NA,NA,0.75,3,0.75,0.75,3,NA,NA
2016,50,2,NA,NA,NA,NA,2,1,NA,0.75,NA,NA,NA,NA,0.75,2,0.75,0.75,2,NA,NA
2016,63,1,NA,NA,NA,NA,2,1,NA,0.25,NA,NA,NA,NA,0.25,3,0.25,0.25,3,NA,NA
2016,47,1,NA,NA,NA,NA,2,1,NA,0.75,NA,NA,NA,NA,0.75,3,0.75,0.75,3,NA,NA
2016,55,2,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA
2016,71,2,NA,NA,NA,NA,2,1,NA,0.5,NA,NA,NA,NA,0.5,1,0.5,0.5,1,NA,NA
2016,43,2,NA,NA,NA,NA,2,1,NA,0.75,NA,NA,NA,NA,0.75,4,0.75,0.75,4,NA,NA
2016,NA,2,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA
2016,60,1,NA,NA,NA,NA,2,1,NA,0.5,NA,NA,NA,NA,0.5,2,0.5,0.5,2,NA,NA
2016,77,2,NA,NA,NA,NA,2,1,NA,0.25,NA,NA,NA,NA,0.25,1,0.25,0.25,1,NA,NA
2016,49,2,NA,NA,NA,NA,1,2,NA,0.75,NA,NA,NA,NA,0.75,1,0.75,0.75,1,NA,NA
2016,56,1,NA,NA,NA,NA,2,1,NA,0.5,NA,NA,NA,NA,0.5,3,0.5,0.5,3,NA,NA
2016,43,2,NA,NA,NA,NA,1,3,NA,0.75,NA,NA,NA,NA,0.75,2,0.75,0.75,2,NA,NA
2016,70,2,NA,NA,NA,NA,2,1,NA,0.75,NA,NA,NA,NA,0.75,3,0.75,0.75,3,NA,NA
2016,68,2,NA,NA,NA,NA,1,2,NA,0.25,NA,NA,NA,NA,0.25,2,0.25,0.25,2,NA,NA
2016,79,2,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA
2016,45,2,NA,NA,NA,NA,2,1,NA,0.5,NA,NA,NA,NA,0.5,2,0.5,0.5,2,NA,NA
