survey_year,gender,age,education,income,marital_status,employment,state,citizenship_status,place_birth,parent_nativity,immigrant_generation,immigration_levels_opinion,legalization_support,deportation_worry,political_party
2007,2,24,1,6,1,1,NA,2,1,3,2,1,NA,3,1
2007,2,39,1,NA,1,2,NA,2,1,1,3,3,NA,2,NA
2007,1,42,1,6,1,1,NA,NA,2,3,1,1,NA,4,1
2007,1,40,1,4,5,1,NA,1,1,1,3,3,NA,3,1
2007,1,31,1,7,2,1,NA,NA,2,3,1,3,NA,3,3
2007,1,40,1,12,1,1,NA,NA,2,3,1,1,NA,1,1
2007,2,87,1,2,4,2,NA,NA,2,3,1,3,NA,4,2
2007,1,64,1,2,1,2,NA,NA,2,3,1,1,NA,2,1
2007,2,34,1,12,1,1,NA,NA,2,3,1,1,NA,4,3
2007,2,30,1,NA,1,1,NA,NA,2,3,1,NA,NA,NA,NA
2007,2,57,1,NA,1,1,NA,2,1,1,3,NA,NA,1,1
2007,1,23,1,14,5,1,NA,NA,2,3,1,1,NA,2,3
2007,1,40,1,NA,1,1,NA,NA,2,3,1,NA,NA,4,NA
2007,2,65,1,NA,3,2,NA,NA,2,3,1,NA,NA,3,1
2007,1,32,1,12,2,1,NA,NA,2,3,1,1,NA,4,3
2007,2,29,1,NA,1,2,NA,NA,2,3,1,3,NA,4,NA
2007,2,18,1,4,5,1,NA,NA,2,3,1,3,NA,1,3
2007,1,46,1,1,2,2,NA,1,1,1,3,3,NA,3,1
2007,2,31,1,13,1,1,NA,2,1,2,2,NA,NA,2,1
2007,2,47,1,7,2,1,NA,NA,2,3,1,1,NA,4,2
2007,2,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,NA,4,3
2007,2,23,1,12,1,1,NA,NA,2,3,1,3,NA,3,3
2007,2,20,1,NA,2,2,NA,NA,2,2,1,3,NA,3,3
2007,2,43,1,11,1,2,NA,NA,2,3,1,3,NA,3,1
2007,1,36,1,11,1,1,NA,2,1,1,3,NA,NA,1,1
2007,1,73,1,2,4,2,NA,NA,2,3,1,3,NA,4,1
2007,2,28,1,5,1,2,NA,2,1,2,2,3,NA,4,NA
2007,1,70,1,15,1,2,NA,NA,2,3,1,1,NA,1,3
2007,1,31,1,14,1,1,NA,NA,2,3,1,1,NA,4,3
2007,1,64,1,3,1,2,NA,NA,2,2,1,3,NA,1,1
2007,1,63,1,14,5,1,NA,2,1,1,3,1,NA,1,1
2007,1,55,1,6,1,2,NA,NA,2,3,1,2,NA,1,2
2007,2,45,1,NA,1,2,NA,NA,2,3,1,3,NA,4,NA
2007,1,52,1,4,1,1,NA,NA,2,3,1,1,NA,4,1
2007,2,51,1,6,1,2,NA,NA,2,3,1,NA,NA,4,NA
2007,2,18,1,NA,5,1,NA,2,1,3,2,1,NA,1,3
2007,2,80,1,5,4,2,NA,NA,2,3,1,3,NA,4,1
