survey_year,immigration_levels_opinion,legalization_support,deportation_worry,gender,age,education,income,marital_status,employment,state,citizenship_status,place_birth,parent_nativity,immigrant_generation,political_party
2002,1,1,NA,1,NA,1,12,1,1,4,2,1,NA,1,NA
2002,1,1,NA,1,NA,1,5,1,1,4,2,1,NA,1,3
2002,1,1,NA,1,NA,1,14,5,3,33,1,2,1,3,3
2002,3,1,NA,1,NA,2,23,3,2,30,1,1,NA,1,1
2002,1,0,NA,1,NA,2,24,1,1,30,2,1,NA,1,2
2002,1,1,NA,2,NA,1,4,4,1,4,NA,NA,NA,NA,NA
2002,3,1,NA,2,NA,1,11,1,3,4,1,1,NA,1,1
2002,1,1,NA,1,NA,3,21,1,1,4,2,1,NA,1,2
2002,3,1,NA,2,NA,2,13,1,1,4,2,1,NA,1,1
2002,3,1,NA,2,NA,1,2,1,3,30,1,2,1,1,1
2002,3,1,NA,2,NA,3,21,1,2,4,1,2,1,3,1
2002,3,1,NA,2,NA,1,1,4,2,4,2,1,NA,1,3
2002,1,1,NA,2,NA,1,NA,5,3,4,1,2,3,2,2
2002,1,1,NA,2,NA,1,NA,1,3,33,2,1,NA,1,3
2002,3,1,NA,2,NA,1,6,1,1,4,2,1,NA,1,3
2002,1,1,NA,1,NA,2,21,2,1,30,1,2,1,1,1
2002,1,1,NA,2,NA,3,NA,2,1,13,NA,NA,NA,NA,2
2002,3,1,NA,2,NA,1,3,3,1,13,2,1,NA,1,3
2002,2,1,NA,2,NA,1,2,2,1,4,2,1,NA,1,3
2002,2,1,NA,1,NA,1,6,1,1,13,2,1,NA,1,3
2002,1,1,NA,1,NA,2,6,1,1,4,2,1,NA,1,1
2002,3,1,NA,2,NA,1,3,3,3,4,1,2,2,2,3
2002,1,1,NA,1,NA,1,5,1,1,33,2,1,NA,1,2
2002,1,1,NA,2,NA,2,4,3,3,30,2,1,NA,1,NA
2002,1,1,NA,2,NA,1,14,1,3,30,1,2,3,1,NA
2002,1,1,NA,1,NA,1,12,1,1,30,1,2,3,1,1
2002,1,1,NA,2,NA,1,11,1,1,30,1,2,3,1,2
2002,3,1,NA,1,NA,2,11,1,1,30,1,1,NA,1,2
2002,3,0,NA,1,NA,1,1,5,3,33,2,1,NA,1,3
2002,3,1,NA,1,NA,2,3,1,1,33,2,1,NA,1,NA
2002,3,0,NA,2,NA,1,6,3,3,4,1,2,3,2,3
2002,3,1,NA,2,NA,1,4,4,3,33,1,2,3,1,1
2002,1,0,NA,2,NA,1,NA,5,1,33,1,1,NA,1,NA
2002,3,1,NA,2,NA,1,11,1,2,4,2,1,NA,1,1
2002,3,1,NA,2,NA,3,22,1,3,33,1,2,3,1,1
2002,3,1,NA,1,NA,2,11,5,1,33,1,2,3,2,NA
2002,1,1,NA,2,NA,3,13,1,1,33,NA,NA,NA,NA,1
2002,2,1,NA,2,NA,1,12,1,1,33,1,1,NA,1,1
2002,3,1,NA,1,NA,3,5,5,3,30,2,1,NA,1,NA
2002,3,0,NA,2,NA,1,6,3,1,33,1,2,1,2,NA
2002,3,1,NA,1,NA,1,5,2,1,13,2,1,NA,1,NA
2002,1,1,NA,1,NA,1,6,1,1,4,2,1,NA,1,1
2002,3,1,NA,1,NA,1,13,1,1,13,1,1,NA,1,NA
2002,3,1,NA,2,NA,1,1,1,2,4,2,1,NA,1,3
2002,2,1,NA,2,NA,1,12,1,1,4,1,2,2,2,1
