gender,age,education,income,marital_status,employment,state,citizenship_status,place_birth,parent_nativity,immigrant_generation,immigration_levels_opinion,legalization_support,deportation_worry,political_party
0,18,4,22,1,2,NA,1,1,3,2,2,NA,1,1
1,58,1,NA,1,1,NA,0,1,3,2,1,NA,3,NA
1,22,4,5,2,1,NA,NA,1,1,3,3,NA,3,2
0,52,1,NA,1,2,NA,1,1,3,2,1,NA,4,NA
1,77,1,6,1,1,NA,1,1,3,2,1,NA,4,1
0,56,1,NA,1,2,NA,0,2,3,1,1,NA,1,3
0,36,1,4,1,2,NA,1,1,3,2,3,NA,2,2
0,43,2,2,1,1,NA,0,2,3,1,1,NA,2,3
0,28,2,11,1,1,NA,1,1,1,3,1,NA,4,3
1,56,3,21,1,1,NA,NA,1,3,2,3,NA,3,1
0,35,4,11,1,2,NA,0,1,3,2,3,NA,2,3
1,56,1,NA,1,2,NA,0,1,3,2,3,NA,2,3
1,62,4,12,1,2,NA,NA,2,1,1,1,NA,4,2
0,53,2,NA,4,2,NA,0,1,2,2,3,NA,4,NA
1,37,4,24,1,1,NA,NA,1,2,2,3,NA,1,2
1,69,1,3,5,2,NA,NA,1,1,3,1,NA,4,3
1,47,1,12,4,1,NA,1,1,NA,NA,NA,NA,4,NA
1,45,3,6,1,1,NA,0,1,3,2,3,NA,2,NA
1,45,3,5,1,1,NA,0,1,3,2,1,NA,3,2
0,53,1,3,5,1,NA,0,1,3,2,1,NA,1,NA
1,18,1,26,NA,2,NA,NA,1,3,2,2,NA,1,NA
0,60,4,NA,1,1,NA,1,2,3,1,1,NA,4,NA
1,35,1,5,1,1,NA,0,2,3,1,1,NA,1,3
0,60,1,NA,1,2,NA,1,2,3,1,3,NA,4,2
1,31,1,4,1,1,NA,0,2,3,1,NA,NA,1,3
1,59,1,NA,4,2,NA,NA,2,1,1,3,NA,1,NA
1,33,1,21,1,1,NA,1,2,3,1,1,NA,4,1
0,43,1,7,1,2,NA,0,1,3,2,3,NA,4,NA
1,64,4,22,1,1,NA,1,1,3,2,3,NA,4,1
